miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B	experiment
hsa-miR-34a-star	-1.10092768013648	5.90996167301462	-5.8390265471507	5.09368429595368e-06	0.00010366443430437	4.0818117167959	GSE36803
hsa-miR-30c	-0.669751274592109	11.5034645034879	-5.7969261008803	5.65302613411713e-06	0.000113569149712405	3.97969751725283	GSE36803
hsa-miR-593	-0.723800889942326	3.88544072859649	-5.79199248187969	5.72253245611311e-06	0.000114264122323522	3.96772090542232	GSE36803
hsa-miR-99b	-0.876193114755177	8.89233512025581	-5.7917614563713	5.72580839380998e-06	0.000114264122323522	3.96716002746289	GSE36803
hsa-miR-31	-2.43571890730624	7.53447828552981	-5.61207641511527	8.94903941239597e-06	0.000165726879165579	3.52958267773051	GSE36803
hsa-miR-376c	-1.47525739096896	4.94542107608865	-5.56192827420058	1.01418450757702e-05	0.000184322137830567	3.40700861133842	GSE36803
hsa-miR-130a	-0.773470526791597	10.7224076982713	-5.51113874189675	1.15144264226791e-05	0.000201760633392909	3.28268200473409	GSE36803
hsa-miR-224	-1.29669693759783	5.20958431120324	-5.44576777553655	1.35619372025997e-05	0.000228912611745824	3.12240276348616	GSE36803
hsa-miR-153	1.77087018158486	3.84115289275531	5.31833971240315	1.86752073854924e-05	0.000291893491435247	2.80920458532048	GSE36803
hsa-miR-378	-0.992575886559695	8.52284830853384	-5.27333662261547	2.09146079669789e-05	0.000321747364688859	2.69837626160315	GSE36803
hsa-miR-100	-0.755582303843054	10.9163230968115	-5.12249951986465	3.05977913253191e-05	0.000425483521721296	2.32621458769477	GSE36803
hsa-miR-936	0.548836245165697	7.44931309078403	5.05039698170085	3.67169948894795e-05	0.000492184073861548	2.14799888144863	GSE36803
hsa-miR-23b	-0.570513087159982	12.5604010878784	-5.01874557515865	3.97794047364245e-05	0.000519917521202665	2.06971437901476	GSE36803
hsa-miR-182	1.05136834616957	8.11488171444033	4.84681788537904	6.15104835127997e-05	0.000728340043412924	1.64408692813088	GSE36803
hsa-miR-23a	-0.531310786225347	12.4152002436895	-4.7806296383674	7.27670157386327e-05	0.000837517272455691	1.48012708364111	GSE36803
hsa-miR-93	0.633166425994325	9.60832730152045	4.72288219422977	8.42655146699901e-05	0.00095026695114859	1.33706853651858	GSE36803
hsa-miR-141	0.705548831386475	11.5433627482689	4.68653229795486	9.24209717818437e-05	0.00102887449355429	1.24702512286203	GSE36803
hsa-miR-28-3p	-0.636065660124604	7.16913843637125	-4.63561357377412	0.000105192611088011	0.00113609282093715	1.12091429924288	GSE36803
hsa-miR-204	-0.974916019958039	3.04703024384366	-4.56727492760763	0.000125154949933193	0.00131640098752073	0.951724732483703	GSE36803
hsa-miR-130b	0.972838659556425	5.85606729726237	4.5238731449678	0.000139758487272562	0.00144855779580248	0.844328148192425	GSE36803
hsa-miR-148a-star	1.0287162400451	5.09461942188253	4.49444148074755	0.000150619089614063	0.0015443912436713	0.771531333852034	GSE36803
hsa-miR-24	-0.452637370273994	12.9455661181896	-4.49372543590196	0.000150893571703847	0.0015443912436713	0.76976060349384	GSE36803
hsa-miR-27a	-0.557020797833077	11.9109034309281	-4.42461072188917	0.000179881011762885	0.00179861137254823	0.598933203343091	GSE36803
hsa-miR-31-star	-0.931827705441117	4.04950103893223	-4.32493035214886	0.00023173853229611	0.00220858125596841	0.352933169289765	GSE36803
hsa-miR-143	-0.559549988879576	14.0745285755472	-4.1941466373507	0.000322975125912338	0.00296947130471167	0.0310633719480826	GSE36803
hsa-miR-96	1.17011457140597	5.55458133056583	4.05573564224747	0.000458578111707213	0.00400871134562849	-0.308125697888427	GSE36803
hsa-miR-375	0.866413879420223	10.4523653978499	4.04352525346839	0.000472958018914205	0.00409774602861919	-0.337962782450714	GSE36803
hsa-miR-497	-0.63156678773068	10.1040500516009	-3.95223495593078	0.000595584097826934	0.0050138797159422	-0.560533715785295	GSE36803
hsa-miR-149	-1.27060260809065	8.02935003243931	-3.94237771020913	0.000610574377917002	0.00512528331194561	-0.5845097245635	GSE36803
hsa-miR-324-3p	-0.505810081762532	7.32953975392459	-3.87767082280202	0.000718658070087304	0.00595579301986456	-0.741600473971589	GSE36803
hsa-miR-452	-0.724684505504313	5.14317234315905	-3.86731944467753	0.000737618640302657	0.00608710630830545	-0.766680922802215	GSE36803
hsa-miR-24-1-star	-0.975997941263309	4.51746838322012	-3.826959065806	0.000816373718742048	0.00664579230413449	-0.864331743887959	GSE36803
hsa-miR-517-star	-0.715882960411	5.24659642011988	-3.76319472170999	0.000957982999210703	0.00762386674015442	-1.01813387550638	GSE36803
hsa-miR-193b	-0.669464691646512	9.51443939135502	-3.71297418635203	0.00108628515764443	0.00849781632331452	-1.13883077743605	GSE36803
hsa-miR-1	-1.47118126925558	6.09027246220606	-3.66483996937133	0.00122503360831611	0.00946947344113789	-1.25412686378663	GSE36803
hsa-miR-1229	-0.690113344305004	5.2069152364991	-3.64730710465373	0.00127977606081485	0.00982460698945779	-1.29602488608144	GSE36803
hsa-miR-181b	-0.759573081489964	6.89118316160827	-3.59765530915942	0.00144814207329547	0.0108866184150147	-1.41437842700898	GSE36803
hsa-miR-502-5p	-0.503153922519694	3.20539515206361	-3.57574635662904	0.00152915833496034	0.0113813070359191	-1.46645696822482	GSE36803
hsa-miR-512-3p	0.48870038142383	2.59349303665149	3.56858058280175	0.00155660632450636	0.0115635726483053	-1.48347045750174	GSE36803
hsa-miR-7-1-star	0.718341144367159	3.98188737755536	3.52715328242031	0.00172499070302546	0.0125988806954617	-1.58163306903619	GSE36803
hsa-miR-768-5p	0.357227756118835	12.2909296709422	3.45266044866768	0.00207361279982468	0.0148009460434588	-1.7572614513972	GSE36803
hsa-miR-873	-0.550234917716608	2.57426061672796	-3.40869388899739	0.00231065631826351	0.0162536265771641	-1.86035597350502	GSE36803
hsa-miR-193a-5p	-0.535827976182791	10.2917234645266	-3.21818764775332	0.00367907430501372	0.0238605524428898	-2.30170542516836	GSE36803
hsa-miR-652	-0.629876096962083	5.92519360579524	-3.17615211926777	0.00407292046740505	0.0258370930836659	-2.39781133151052	GSE36803
hsa-miR-7	0.517592889056591	4.13840780624961	3.14058896121936	0.00443759705333365	0.0275674252558048	-2.47872852875182	GSE36803
hsa-miR-18b	0.866915139194663	5.08151713004468	3.10602031407876	0.00482208367224148	0.0296495546015477	-2.55702818073994	GSE36803
hsa-miR-34a	-0.642934851596273	8.20019186199167	-3.07797860371852	0.00515730987673912	0.0312195016938158	-2.62027986656727	GSE36803
hsa-miR-768-3p	0.311730300456004	12.5015589361989	3.00637386792385	0.00611783015414498	0.0358402118850398	-2.78067924165695	GSE36803
hsa-miR-665	0.480138674149149	9.21934294889734	3.001769373784	0.00618513153691536	0.0361802417372706	-2.79093723473759	GSE36803
hsa-miR-22	-0.32722516736081	12.2130707136847	-2.99597782888582	0.00627078950716674	0.0365445339287905	-2.80382987678269	GSE36803
hsa-miR-148a	0.496703177292588	10.5430327233767	2.94719358198234	0.00703871765701833	0.040180846230532	-2.91198498864196	GSE36803
hsa-miR-361-5p	-0.362810656448188	8.64481899891888	-2.94002585493117	0.00715884624904552	0.0406882788627569	-2.92780789759956	GSE36803
hsa-miR-17-star	0.680235395071954	6.87557932433605	2.93851501912144	0.00718441567241141	0.0407773968304507	-2.93114084273879	GSE36803
hsa-let-7b-star	-0.688946382910284	5.76042065654326	-2.88922373826264	0.00806801615989831	0.0449725722465088	-3.03944125041629	GSE36803
hsa-miR-32	0.381822545542718	1.84897367922087	2.87317538121593	0.00837736588344003	0.0462352502677146	-3.07451556098963	GSE36803
