ID	Target
hsa-miR-193a-5p	CACNB4
hsa-miR-221-3p	CACNB4
hsa-miR-30a-3p	CACNB4
hsa-miR-106a-5p	CACNB4
hsa-miR-26a-5p	CACNB4
hsa-miR-505-3p	CACNB4
hsa-miR-671-5p	CACNG1
hsa-miR-486-3p	CACNG1
hsa-miR-30a-3p	CALCB
hsa-miR-30e-3p	CALCB
hsa-miR-23b-3p	CCK
hsa-miR-193a-5p	CD247
hsa-miR-518c-5p	CHRM1
hsa-miR-107	CHRM1
hsa-miR-106a-5p	CHRM2
hsa-miR-23b-3p	CHRNA2
hsa-miR-193a-5p	CHRNA4
hsa-miR-486-3p	CHRNA4
hsa-miR-3074-3p	CHRNA5
hsa-miR-23b-3p	CHRNA5
hsa-miR-29a-3p	CHRNB2
hsa-miR-939-5p	COMT
hsa-miR-27b-3p	CSF1
hsa-miR-939-5p	CSF1
hsa-miR-107	CYP3A7
hsa-miR-365a-3p	CYP2C9
hsa-miR-30a-3p	CYP7A1
hsa-miR-30e-3p	CYP7A1
hsa-miR-505-3p	CYP7A1
hsa-miR-23b-3p	CYP24A1
hsa-miR-125b-5p	CYP24A1
hsa-miR-30c-5p	CYP24A1
hsa-miR-384	CYP24A1
hsa-miR-140-3p	DDC
hsa-miR-3074-3p	DDC
hsa-miR-30a-3p	DHFR
hsa-miR-505-3p	DHFR
hsa-miR-30e-3p	DHFR
hsa-miR-29a-3p	DIO2
hsa-miR-384	DIO2
hsa-miR-367-5p	DIO2
hsa-miR-107	DRD1
hsa-miR-29a-3p	DRD1
hsa-miR-106a-5p	DRD1
hsa-miR-125b-5p	EPO
hsa-miR-518c-5p	FGF1
hsa-miR-365a-3p	FGF1
hsa-miR-1224-5p	FGF1
hsa-miR-32-5p	FKBP1A
hsa-miR-580-3p	GABRA1
hsa-miR-221-3p	GABRA1
hsa-miR-23b-3p	GABRA1
hsa-miR-106a-5p	GABRA1
hsa-miR-222-3p	GABRA1
hsa-miR-939-5p	GABRA3
hsa-miR-384	GABRA4
hsa-miR-125b-2-3p	GABRA4
hsa-miR-26a-5p	GABRA4
