miR_ID	circbase_ID
hsa-miR-4638-3p	hsa_circ_0000129
hsa-miR-4677-5p	hsa_circ_0036188
hsa-miR-4685-5p	hsa_circ_0034642
hsa-miR-4751	hsa_circ_0060539
hsa-miR-4753-3p	hsa_circ_0005301
hsa-miR-510-5p	hsa_circ_0008323
hsa-miR-511-5p	hsa_circ_0008382
hsa-miR-5685	hsa_circ_0076700
hsa-miR-6084	hsa_circ_0063089
hsa-miR-6735-5p	hsa_circ_0086684
hsa-miR-6736-3p	hsa_circ_0041871
hsa-miR-6744-3p	hsa_circ_0016760
hsa-miR-6792-3p	hsa_circ_0014306
hsa-miR-6815-3p	hsa_circ_0002225
hsa-miR-6846-3p	hsa_circ_0008926
hsa-miR-6846-5p	hsa_circ_0034642
hsa-miR-6856-3p	hsa_circ_0036188
hsa-miR-761	hsa_circ_0089153
hsa-miR-8089	hsa_circ_0075320
