Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
TMEM91	-0.80180967711917	5.15332216067469	-4.88704989640708	0.00121407498277709	0.0184173101514449	-1.04025442955997
SNRPN	-0.481553796583961	10.9243459798786	-4.88736261901471	0.00121359469802678	0.0184173101514449	-1.03983255797825
KHNYN	-0.656508804353767	5.19767979078577	-4.8859803860112	0.00121571912199859	0.0184247706555787	-1.04169733750398
CDK2AP2	-0.91999518285033	7.85568416527234	-4.88316695539298	0.00122005576086444	0.0184729844322553	-1.04549382042325
SH2D4A	0.716365870751696	7.0862835062071	4.87768684141916	0.00122855133508526	0.0185840182560816	-1.05289209542618
PFKFB4	-2.29067157133835	9.47835992849355	-4.87131356250253	0.0012385127339383	0.0186171845008153	-1.06150170111026
MAPK8IP1	-1.47015917731567	3.54848695554202	-4.87281949052814	0.00123615105889333	0.0186171845008153	-1.05946681900908
ENSA	0.400635600692599	9.17368764483165	4.87140478264374	0.00123836953790588	0.0186171845008153	-1.06137843062429
IQCC	0.451152093490901	7.15847337738794	4.8622764631427	0.00125278889724094	0.0187730474957689	-1.073720047465
ICAM3	0.825397573320883	7.77864964904741	4.86239187079022	0.00125260545793128	0.0187730474957689	-1.07356393844508
SLC10A7	-1.19697655367011	6.66524221337607	-4.85761612900661	0.00126022096937489	0.0188667350930104	-1.08002559567033
CCDC25	-0.487018264048675	8.33058595266118	-4.85233987518878	0.00126869332168422	0.0189635621202047	-1.08716834171431
KLHL2	0.890786030486812	4.99898282759033	4.84735194731995	0.00127675979353785	0.0189898719431411	-1.09392451834539
DYNLL2	-0.647076860103522	7.7229832856543	-4.84823631397453	0.00127532553041775	0.0189898719431411	-1.09272637268154
COL18A1	0.505156965896302	4.93748216033126	4.847709732762	0.00127617932662263	0.0189898719431411	-1.09343977450466
ZC4H2	-4.86452009851238	3.75932030470216	-4.84907509752532	0.0012739668159361	0.0189898719431411	-1.09159008924364
AKAP11	-0.605704360251586	6.75648982236605	-4.84626505680758	0.0012785249171284	0.0189984525092621	-1.09539720168565
TPD52L1	0.629189477627639	9.12604640774845	4.84485711250603	0.00128081539027955	0.0190148164114946	-1.09730515462799
TNFRSF14	-3.87146746019223	5.52203467352731	-4.83964509565154	0.00128933339839063	0.0191235173533096	-1.10437066388851
RPL13	1.06534102437489	7.86441064562479	4.83797933891972	0.00129206874737461	0.0191285992609006	-1.10662963512459
LOC550643	-0.374590348330258	10.7233662842832	-4.83855996320646	0.00129111458364316	0.0191285992609006	-1.10584219092048
